,buggy_prompt_ids
0,9
1,30
2,31
3,33
4,40
5,41
6,45
7,52
8,60
9,63
10,70
11,104
12,112
13,115
14,118
15,141
16,151
17,175
18,181
19,201
20,203
21,205
22,206
23,226
24,245
25,254
26,267
27,271
28,272
29,309
30,319
31,322
32,331
33,336
34,340
35,341
36,343
37,361
38,369
39,371
40,374
41,390
42,391
43,401
44,406
45,411
46,428
47,430
48,436
49,438
50,443
51,451
52,455
53,476
54,481
55,490
56,497
57,508
58,536
59,542
60,560
61,577
62,583
63,585
64,587
65,591
66,596
67,598
68,606
69,607
70,615
71,636
72,640
73,645
74,646
75,647
76,650
77,659
78,662
79,664
80,670
81,682
82,701
83,718
84,729
85,753
86,763
87,784
88,790
89,792
90,795
91,801
92,809
93,817
94,821
95,829
96,840
97,847
98,852
99,857
100,869
101,874
102,875
103,883
104,898
105,900
106,912
107,948
108,977
109,981
110,988
111,994
112,999
113,1001
114,1005
115,1010
116,1017
117,1019
118,1024
119,1028
120,1031
121,1032
122,1038
123,1046
124,1053
125,1068
126,1081
127,1082
128,1083
129,1092
130,1099
131,1100
132,1108
133,1109
134,1115
135,1117
136,1122
137,1125
138,1131
139,1139
140,1145
141,1152
142,1157
143,1172
144,1175
145,1198
146,1205
147,1206
148,1210
149,1229
150,1231
151,1234
152,1252
153,1256
154,1266
155,1270
156,1273
157,1275
158,1280
159,1281
160,1289
161,1298
162,1304
163,1306
164,1307
