,buggy_prompt_ids
0,0
1,2
2,4
3,5
4,6
5,7
6,8
7,9
8,11
9,12
10,14
11,15
12,16
13,17
14,18
15,19
16,20
17,22
18,23
19,24
20,25
21,27
22,28
23,31
24,36
25,39
26,41
27,42
28,47
29,48
30,50
31,52
32,54
33,55
34,56
35,57
36,59
37,61
38,62
39,63
40,64
41,66
42,67
43,68
44,69
45,70
46,71
47,72
48,73
49,77
50,80
51,81
52,86
53,88
54,89
55,90
56,91
57,92
58,93
59,94
60,95
61,96
62,97
63,98
64,100
65,101
66,102
67,103
68,104
69,106
70,108
71,110
72,111
73,114
74,115
75,116
76,118
77,119
78,121
79,122
80,125
81,128
82,130
83,133
84,136
85,137
86,141
87,142
88,143
89,145
90,147
91,148
92,149
93,150
94,151
95,154
96,156
97,157
98,158
99,159
100,160
101,162
102,164
103,167
104,169
105,170
106,172
107,173
108,174
109,175
110,176
111,177
112,182
113,183
114,184
115,185
116,188
117,190
118,191
119,192
120,195
121,196
122,197
123,198
124,200
125,202
126,203
127,207
128,209
129,210
130,213
131,214
132,215
133,216
134,219
135,220
136,221
137,222
138,224
139,226
140,228
141,229
142,233
143,234
144,235
145,237
146,243
147,244
148,245
149,247
150,249
151,252
152,254
153,255
154,256
155,261
156,262
157,265
158,266
159,267
160,268
161,271
162,272
163,273
164,274
165,275
166,278
167,279
168,283
169,284
170,286
171,288
172,289
173,290
174,291
175,293
176,296
177,299
178,300
179,302
180,303
181,305
182,309
183,313
184,314
185,316
186,317
187,318
188,322
189,326
190,327
191,330
192,334
193,338
194,339
195,340
196,341
197,343
198,344
199,345
200,346
201,347
202,348
203,349
204,350
205,351
206,352
207,356
208,357
209,358
210,366
211,367
212,368
213,369
214,371
215,373
216,374
217,376
218,377
219,378
220,379
221,382
222,383
223,384
224,386
225,388
226,389
227,395
228,397
229,399
230,401
231,402
232,403
233,406
234,407
235,409
236,410
237,411
238,413
239,414
240,416
241,417
242,418
243,419
244,421
245,422
246,424
247,426
248,427
249,428
250,430
251,431
252,432
253,433
254,434
255,436
256,438
257,439
258,441
259,442
260,443
261,444
262,445
263,447
264,448
265,450
266,453
267,455
268,456
269,458
270,460
271,462
272,463
273,465
274,467
275,469
276,470
277,473
278,474
279,479
280,480
281,483
282,486
283,487
284,488
285,490
286,491
287,492
288,493
289,495
290,496
291,497
292,498
293,499
294,502
295,504
296,509
297,510
298,515
299,521
300,522
301,523
302,524
303,525
304,526
305,527
306,529
307,534
308,540
309,541
310,542
311,544
312,546
313,547
314,548
315,549
316,550
317,551
318,554
319,555
320,556
321,558
322,561
323,563
324,566
325,568
326,569
327,570
328,572
329,573
330,574
331,575
332,576
333,577
334,579
335,580
336,581
337,582
338,583
339,584
340,587
341,590
342,591
343,594
344,598
345,600
346,601
347,602
348,604
349,605
350,606
351,607
352,608
353,609
354,611
355,617
356,621
357,622
358,623
359,625
360,627
361,629
362,630
363,633
364,634
365,636
366,637
367,638
368,640
369,641
370,642
371,643
372,644
373,647
374,649
375,652
376,654
377,656
378,657
379,658
380,659
381,661
382,663
383,665
384,666
385,668
386,669
387,670
388,671
389,672
390,674
391,677
392,678
393,680
394,683
395,684
396,688
397,690
398,691
399,692
400,693
401,694
402,696
403,697
404,698
405,700
406,702
407,704
408,705
409,706
410,708
411,709
412,711
413,712
414,713
415,714
416,717
417,720
418,721
419,722
420,724
421,726
422,727
423,728
424,729
425,730
426,733
427,734
428,735
429,742
430,743
431,744
432,745
433,748
434,750
435,751
436,755
437,756
438,757
439,759
440,760
441,766
442,767
443,768
444,771
445,772
446,773
447,774
448,775
449,777
450,778
451,779
452,780
453,784
454,785
455,787
456,788
457,789
458,790
459,792
460,794
461,795
462,796
463,799
464,801
465,802
466,803
467,806
468,807
469,809
470,810
471,811
472,814
473,816
474,817
475,818
476,819
477,820
478,821
479,825
480,826
481,828
482,831
483,832
484,833
485,834
486,835
487,837
488,839
489,843
490,844
491,845
492,846
493,847
494,852
495,855
496,856
497,857
498,858
499,859
500,860
501,862
502,864
503,865
504,869
505,870
506,875
507,876
508,877
509,879
510,882
511,883
512,885
513,886
514,887
515,888
516,889
517,890
518,891
519,894
520,895
521,896
522,897
523,898
524,901
525,905
526,906
527,907
528,908
529,909
530,911
531,912
532,913
533,914
534,919
535,923
536,924
537,925
538,926
539,927
540,929
541,931
542,933
543,934
544,936
545,937
546,938
547,939
548,940
549,941
550,943
551,945
552,946
553,948
554,949
555,951
556,952
557,953
558,954
559,955
560,956
561,961
562,965
563,969
564,972
565,975
566,977
567,978
568,979
569,981
570,983
571,986
572,987
573,988
574,989
575,991
576,992
577,994
578,998
579,1004
580,1005
581,1007
582,1009
583,1010
584,1012
585,1013
586,1015
587,1016
588,1017
589,1018
590,1019
591,1023
592,1024
593,1026
594,1028
595,1030
596,1031
597,1032
598,1033
599,1034
600,1035
601,1036
602,1038
603,1043
604,1044
605,1046
606,1048
607,1050
608,1051
609,1053
610,1054
611,1055
612,1056
613,1057
614,1058
615,1060
616,1062
617,1065
618,1066
619,1068
620,1073
621,1074
622,1075
623,1077
624,1079
625,1082
626,1084
627,1086
628,1087
629,1088
630,1090
631,1092
632,1093
633,1096
634,1099
635,1101
636,1102
637,1103
638,1105
639,1106
640,1107
641,1110
642,1111
643,1113
644,1115
645,1116
646,1118
647,1119
648,1120
649,1121
650,1123
651,1124
652,1125
653,1126
654,1128
655,1129
656,1130
657,1131
658,1132
659,1134
660,1137
661,1138
662,1139
663,1141
664,1143
665,1144
666,1149
667,1150
668,1151
669,1152
670,1153
671,1157
672,1159
673,1160
674,1161
675,1163
676,1164
677,1165
678,1166
679,1167
680,1168
681,1169
682,1171
683,1174
684,1175
685,1176
686,1177
687,1178
688,1180
689,1181
690,1182
691,1183
692,1187
693,1188
694,1193
695,1194
696,1197
697,1198
698,1199
699,1202
700,1203
701,1205
702,1206
703,1208
704,1209
705,1213
706,1214
707,1215
708,1223
709,1225
710,1226
711,1228
712,1230
713,1231
714,1232
715,1233
716,1235
717,1236
718,1238
719,1239
720,1243
721,1245
722,1246
723,1251
724,1253
725,1257
726,1258
727,1259
728,1260
729,1261
730,1262
731,1264
732,1265
733,1266
734,1267
735,1268
736,1270
737,1271
738,1272
739,1273
740,1274
741,1280
742,1281
743,1282
744,1284
745,1285
746,1286
747,1287
748,1289
749,1291
750,1292
751,1294
752,1295
753,1298
754,1299
755,1300
756,1301
757,1304
758,1307
759,1308
760,1310
761,1311
762,1312
763,1313
764,1315
765,1316
766,1317
767,1318
