,buggy_prompt_ids
0,15
1,23
2,38
3,39
4,45
5,47
6,49
7,63
8,70
9,106
10,127
11,140
12,170
13,177
14,180
15,183
16,186
17,227
18,242
19,245
20,247
21,266
22,280
23,288
24,289
25,296
26,301
27,304
28,327
29,328
30,334
31,341
32,349
33,353
34,363
35,369
36,377
37,398
38,401
39,406
40,413
41,432
42,439
43,443
44,466
45,479
46,493
47,555
48,568
49,574
50,578
51,584
52,592
53,606
54,610
55,633
56,638
57,643
58,650
59,657
60,681
61,688
62,697
63,701
64,727
65,732
66,744
67,746
68,755
69,780
70,801
71,813
72,814
73,842
74,861
75,887
76,925
77,928
78,941
79,947
80,953
81,965
82,971
83,1006
84,1007
85,1011
86,1013
87,1016
88,1017
89,1026
90,1037
91,1048
92,1070
93,1077
94,1155
95,1176
96,1217
97,1218
98,1223
99,1248
100,1265
101,1271
102,1279
103,1285
104,1286
105,1290
106,1296
107,1298
108,1306
109,1313
